,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.textDisplay
0,"LETS SMASH 2,000 LIKES ğŸ‘ 
COMMENT & SUBSCRIBE âœ…","LETS SMASH 2,000 LIKES ğŸ‘ <br>COMMENT &amp; SUBSCRIBE âœ…"
1,"Also let's talk about Dan Ballard, brought in to replace Mepham which was a huge call as he has been excellent but my god, 20 clearances, 11 duesl and he won every single one, a colossus!","Also let&#39;s talk about Dan Ballard, brought in to replace Mepham which was a huge call as he has been excellent but my god, 20 clearances, 11 duesl and he won every single one, a colossus!"
2,What a time for Sunderland to finally beat Coventry..,What a time for Sunderland to finally beat Coventry..
3,Hope Sunderland make it to Wembley,Hope Sunderland make it to Wembley
4,WOW that was a very loud cheer when Sunderland scored,WOW that was a very loud cheer when Sunderland scored
5,"Well done  Sunderland 
You  are  half way  there  to  Wembley 
Playoff  final  good luck ğŸ‘   from  a Fulham fan",Well done  Sunderland <br>You  are  half way  there  to  Wembley <br>Playoff  final  good luck ğŸ‘   from  a Fulham fan
6,Sophie would look much better in red and white ; ),Sophie would look much better in red and white ; )
7,"Sunderland fan here, what a display both teams put on! The Atmosphere from both home and away fans was incredible Haway the Lads","Sunderland fan here, what a display both teams put on! The Atmosphere from both home and away fans was incredible Haway the Lads"
8,"Good vlog! I was at the cbs last night cheering on Sunderland for the 2nd time this year, thankfully no trouble like last time.","Good vlog! I was at the cbs last night cheering on Sunderland for the 2nd time this year, thankfully no trouble like last time."
9,Iâ€™m surprised how confident Coventry fans were considering Sunderland were one of four teams far and away the best in the league for most of the season.,Iâ€™m surprised how confident Coventry fans were considering Sunderland were one of four teams far and away the best in the league for most of the season.
10,"Sunderand fan here, enjoy your channel, discovered it halfway through the season, have watched it since. There was so much talk about our previous meetings I think it worked against you and for us. I also thought LeBris' tactics were spot on. I do feel confident we will get over the line but if I were a Coventry fan I would take hope in the fact todays result is proof that what everyone assumes is going to happen often doesn't.","Sunderand fan here, enjoy your channel, discovered it halfway through the season, have watched it since. There was so much talk about our previous meetings I think it worked against you and for us. I also thought LeBris&#39; tactics were spot on. I do feel confident we will get over the line but if I were a Coventry fan I would take hope in the fact todays result is proof that what everyone assumes is going to happen often doesn&#39;t."
11,"Very good vlog and fair analysis Matt, Chin up","Very good vlog and fair analysis Matt, Chin up"
12,Sunderland did a good job on us. Long way back for Coventry now..,Sunderland did a good job on us. Long way back for Coventry now..
13,Sunderland fan here. Total respect for your take on the match. Remember though that our performances as of late has been terrible. May the best team win. Take care.,Sunderland fan here. Total respect for your take on the match. Remember though that our performances as of late has been terrible. May the best team win. Take care.
14,"Don't feel too bad Matt, Cardiff City fan ! Think Sheffield Utd get through anyway and come straight back down.","Don&#39;t feel too bad Matt, Cardiff City fan ! Think Sheffield Utd get through anyway and come straight back down."
15,"Fair round-up, you're about the only coventry fan ive seen give sunderland some credit","Fair round-up, you&#39;re about the only coventry fan ive seen give sunderland some credit"
16,"Thank you putting me and my niece and nephew in the video , we follow you , you made there day","Thank you putting me and my niece and nephew in the video , we follow you , you made there day"
17,Would love for Sunderland to go up ğŸ‰ğŸ‰ two games with Newcastle. tasty games ğŸ‘,Would love for Sunderland to go up ğŸ‰ğŸ‰ two games with Newcastle. tasty games ğŸ‘
18,Mental now Tuesday! Ear plugs needed ğŸ´ó §ó ¢ó ¥ó ®ó §ó ¿ ğŸ‡µğŸ‡± Til the End! Proper working class City ğŸ’ªğŸ»,Mental now Tuesday! Ear plugs needed ğŸ´ó §ó ¢ó ¥ó ®ó §ó ¿ ğŸ‡µğŸ‡± Til the End! Proper working class City ğŸ’ªğŸ»
19,"The first goal in the next game is vital
If Sunderland get it then its curtains",The first goal in the next game is vital<br>If Sunderland get it then its curtains
20,Are you watching Jimmy Hill .  Well done Roker Lads . ğŸ¦ŒğŸ¦ŒğŸ¦Œ From StagLads,Are you watching Jimmy Hill .  Well done Roker Lads . ğŸ¦ŒğŸ¦ŒğŸ¦Œ From StagLads
21,OH SUNDERLAND WE LOVE YOU,OH SUNDERLAND WE LOVE YOU
22,COME ON SUNDERLAND,COME ON SUNDERLAND
23,Safc fan here but I love you guys and your relationship. Never a situation where all parties walk away happy but I will watch you two regardless off the final outcome,Safc fan here but I love you guys and your relationship. Never a situation where all parties walk away happy but I will watch you two regardless off the final outcome
24,Thatâ€™s the hoodoo banished letâ€™s hope the 2nd leg goes our way too ğŸ”´âšªï¸ğŸ”´âšªï¸    great channel,Thatâ€™s the hoodoo banished letâ€™s hope the 2nd leg goes our way too ğŸ”´âšªï¸ğŸ”´âšªï¸    great channel
25,Fair anlaysis on game... from safc fan.. take care.,Fair anlaysis on game... from safc fan.. take care.
26,"I'm a sunderland fan,  so I'm very pleased obviously with that result, not over yet though!","I&#39;m a sunderland fan,  so I&#39;m very pleased obviously with that result, not over yet though!"
27,Sunderland fan....great game plan from us...but this game is far from over. Tuesday should be a good game,Sunderland fan....great game plan from us...but this game is far from over. Tuesday should be a good game
28,"Good luck from a Leeds fan who lived in Holbrooks for a few years. I always had a soft spot for you guys, so the very best","Good luck from a Leeds fan who lived in Holbrooks for a few years. I always had a soft spot for you guys, so the very best"
29,I'm a lifelong sunderland fan & obviously both games have been played & sunderland ended up victorious but your team put in a great effort unfortunately for Coventry a mistake cost urs the game our strategy was spot on in the the first game in the second game Coventry played a much better game as sunderland played deep but that last minute winner in added time was magic for us I feel Coventry can be up there again next season I remember being at wembley against charlton in 1998 when we lost the best play off final ever after a 4-4 draw after extra time & then lost on penalties & as I come out of wembley after that game a charlton fan come up to me & said bad luck you will win the  league as champions next season & we did Coventry will bounce back urs have a good squad & I wish your team all the best next season even though we are at wembley in 8 days time Sheffield utd are going to be a challenge but we are capable of beating them yet again hard luck & keep ur chins up,I&#39;m a lifelong sunderland fan &amp; obviously both games have been played &amp; sunderland ended up victorious but your team put in a great effort unfortunately for Coventry a mistake cost urs the game our strategy was spot on in the the first game in the second game Coventry played a much better game as sunderland played deep but that last minute winner in added time was magic for us I feel Coventry can be up there again next season I remember being at wembley against charlton in 1998 when we lost the best play off final ever after a 4-4 draw after extra time &amp; then lost on penalties &amp; as I come out of wembley after that game a charlton fan come up to me &amp; said bad luck you will win the  league as champions next season &amp; we did Coventry will bounce back urs have a good squad &amp; I wish your team all the best next season even though we are at wembley in 8 days time Sheffield utd are going to be a challenge but we are capable of beating them yet again hard luck &amp; keep ur chins up
30,Sophie looking stunning as always,Sophie looking stunning as always
31,What a refreshing balanced view from home football supporters.  Great vlog.,What a refreshing balanced view from home football supporters.  Great vlog.
32,"Great Video. wonderful love of football and being realistic so likeable  Best wishes pob see u next season 
Howay the lads
Well  why this video popped up after Sunderland scored more goals than Coventry to get to Wembley
Sunderland's luck did not dry up yet as Leeds fans said it would in October


Sheff Wed will be wishing us well",Great Video. wonderful love of football and being realistic so likeable  Best wishes pob see u next season <br>Howay the lads<br>Well  why this video popped up after Sunderland scored more goals than Coventry to get to Wembley<br>Sunderland&#39;s luck did not dry up yet as Leeds fans said it would in October<br><br><br>Sheff Wed will be wishing us well
33,"I'm a Sunderland fan, and must say, the summaries were both fair & very good.
As Sophie mentioned, Coventry had the majority of possession, though they just didn't create enough clear cut chances.
We executed our game plan, perfectly, & took the chances that came our way.
More pleasing for me, is the togetherness, heart, desire, belief and the will to win, shown by The Lads, after being in a downward slump, playing slow, dull, uncreative football, for the best part of the last 6 months.
The tie is by no means over just yet, and undoubtedly, there'll be a few twists & turns, to come on Tuesday, night, where we'll have 46-47,000 inside the SOL, but regardless of  whatever happens then, Sunderland players have rediscovered & regained, their pride & their passion, with that gutsy, win at Coventry.

Ha'way The Lads. ğŸ”´âšªğŸ”´","I&#39;m a Sunderland fan, and must say, the summaries were both fair &amp; very good.<br>As Sophie mentioned, Coventry had the majority of possession, though they just didn&#39;t create enough clear cut chances.<br>We executed our game plan, perfectly, &amp; took the chances that came our way.<br>More pleasing for me, is the togetherness, heart, desire, belief and the will to win, shown by The Lads, after being in a downward slump, playing slow, dull, uncreative football, for the best part of the last 6 months.<br>The tie is by no means over just yet, and undoubtedly, there&#39;ll be a few twists &amp; turns, to come on Tuesday, night, where we&#39;ll have 46-47,000 inside the SOL, but regardless of  whatever happens then, Sunderland players have rediscovered &amp; regained, their pride &amp; their passion, with that gutsy, win at Coventry.<br><br>Ha&#39;way The Lads. ğŸ”´âšªğŸ”´"
34,Sunderland defended really well and took their chances. I did think Cov were a bit over confident going into the game. Only half time though.,Sunderland defended really well and took their chances. I did think Cov were a bit over confident going into the game. Only half time though.
35,"Iâ€™m a Villa season ticket holder but love your match videos.. always well balanced and honest whereas 99% of these type of thing the bias borders on the ridiculous.. though youâ€™re both passionate about the Sky blues your after match comments are always objective and fair.
Good luck on Tuesday, youâ€™re probably going to need some and if you do reach Wembley I hope you both have a better day than we did recently.","Iâ€™m a Villa season ticket holder but love your match videos.. always well balanced and honest whereas 99% of these type of thing the bias borders on the ridiculous.. though youâ€™re both passionate about the Sky blues your after match comments are always objective and fair.<br>Good luck on Tuesday, youâ€™re probably going to need some and if you do reach Wembley I hope you both have a better day than we did recently."
36,"Spot on with your summary Matt, fantastic show again. PUSB Let's put this right","Spot on with your summary Matt, fantastic show again. PUSB Let&#39;s put this right"
37,"Sundered did a proper job on Cov, very street wise and assured! 

I was really rooting for Cov but i really can't see it now, but good luck Cov, from a Luton fan!","Sundered did a proper job on Cov, very street wise and assured! <br><br>I was really rooting for Cov but i really can&#39;t see it now, but good luck Cov, from a Luton fan!"
38,"Coventry City need a huge performance now, itâ€™s not over ğŸ¤âš½ï¸","Coventry City need a huge performance now, itâ€™s not over ğŸ¤âš½ï¸"
39,Sunderland fan here.... far from over this one,Sunderland fan here.... far from over this one
40,"Good analysis of the game, fair play to yourselfs, me as a sunderland fan always nos that we can f#@k things up but hopefully we don't but it is only half time.
Ha,way the lads","Good analysis of the game, fair play to yourselfs, me as a sunderland fan always nos that we can f#@k things up but hopefully we don&#39;t but it is only half time.<br>Ha,way the lads"
41,Sunderland ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸ğŸ’¯ğŸ’¯ğŸ’¯ğŸ’¯ğŸ’¯ğŸ’¯ğŸ’¯ğŸ’¯ğŸ’¯ğŸ’¯ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘,Sunderland ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸ğŸ’¯ğŸ’¯ğŸ’¯ğŸ’¯ğŸ’¯ğŸ’¯ğŸ’¯ğŸ’¯ğŸ’¯ğŸ’¯ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘
42,"Well played Coventry, cant wait for tuesday night at the sol ğŸ”´âšªï¸ğŸ”´âšªï¸","Well played Coventry, cant wait for tuesday night at the sol ğŸ”´âšªï¸ğŸ”´âšªï¸"
43,"Ballard quite possibly enabled Sunderland to Win last night, against all that Coventry pressure he prevented almost everything going goalwards! reminded me of Katic infront of Argyle's goal...  Coventry's Winger Sakamoto is brilliant, it's going to be a fascinating game on Monday and Sunderland's staunch Defence will be key... Good Luck Matt & Sophie, there is every chance either side will be at Wembley, impossible to call it.","Ballard quite possibly enabled Sunderland to Win last night, against all that Coventry pressure he prevented almost everything going goalwards! reminded me of Katic infront of Argyle&#39;s goal...  Coventry&#39;s Winger Sakamoto is brilliant, it&#39;s going to be a fascinating game on Monday and Sunderland&#39;s staunch Defence will be key... Good Luck Matt &amp; Sophie, there is every chance either side will be at Wembley, impossible to call it."
44,"as a sunderland fan i will say you gave us a good game and it's not over, if you get an early goal at the SOL its game on","as a sunderland fan i will say you gave us a good game and it&#39;s not over, if you get an early goal at the SOL its game on"
45,"Super atmosphere, not all lost yet Cov. Good luck to you both, I hope one of you two teams go up! Canâ€™t wait for the next leg. Thanks for the fair and balanced Vlog, take care Matt & Sophie, Andy the Cardiff fan","Super atmosphere, not all lost yet Cov. Good luck to you both, I hope one of you two teams go up! Canâ€™t wait for the next leg. Thanks for the fair and balanced Vlog, take care Matt &amp; Sophie, Andy the Cardiff fan"
46,"Sunderland fan here. Sophie, you actually had me feeling sorry for a Coventry fan, and that's a first. Love your prediction vids guys. I wish you both the best, but obs not on Tuesday night.","Sunderland fan here. Sophie, you actually had me feeling sorry for a Coventry fan, and that&#39;s a first. Love your prediction vids guys. I wish you both the best, but obs not on Tuesday night."
47,"Everyone underestimate Sunderland theyâ€™ve had foot of pedal for months now there attack is as good as anybodyâ€™s an so is there defence game not over but 45,000 at the SOL itâ€™ll be rocking could of been 3-1 at the end Coventry didnt really have a clear cut chance apart from equaliser but itâ€™s only half time anything could happen an nothing would surprise me thanks for a very honest assessment of game see u Tuesday ğŸ”´âšªï¸","Everyone underestimate Sunderland theyâ€™ve had foot of pedal for months now there attack is as good as anybodyâ€™s an so is there defence game not over but 45,000 at the SOL itâ€™ll be rocking could of been 3-1 at the end Coventry didnt really have a clear cut chance apart from equaliser but itâ€™s only half time anything could happen an nothing would surprise me thanks for a very honest assessment of game see u Tuesday ğŸ”´âšªï¸"
48,As a Sunderland fan I think it's  far from finished,As a Sunderland fan I think it&#39;s  far from finished
49,Great video ğŸ‘,Great video ğŸ‘
50,As a Sunderland fan I am delighted for the result but I know the tie isnâ€™t over our defensive display was really good and hopefully itâ€™ll happen again on Tuesday,As a Sunderland fan I am delighted for the result but I know the tie isnâ€™t over our defensive display was really good and hopefully itâ€™ll happen again on Tuesday
51,"Burnley fan here, never say never. We played Plymouth once in a playoff game & after drawing at the Turf they booked their coaches for Wembley before the 2nd match. Thrashed them 3-1 & we went to Wembley, you never know what can happen!","Burnley fan here, never say never. We played Plymouth once in a playoff game &amp; after drawing at the Turf they booked their coaches for Wembley before the 2nd match. Thrashed them 3-1 &amp; we went to Wembley, you never know what can happen!"
52,"SAFC fan here. This tie is not over yet. CC have a potent attack and Iâ€™d be surprised if you donâ€™t score in the second-leg. Meanwhile, SAFC only seem capable of playing on the back foot at the moment and thatâ€™s something the head-coach is struggling change. It will be interesting to see what type of game takes place at the SOL. Who ever wins, Sheffield United will be a mighty challenge for either team in the final. Btw, Jack Rodoni, quite a player.","SAFC fan here. This tie is not over yet. CC have a potent attack and Iâ€™d be surprised if you donâ€™t score in the second-leg. Meanwhile, SAFC only seem capable of playing on the back foot at the moment and thatâ€™s something the head-coach is struggling change. It will be interesting to see what type of game takes place at the SOL. Who ever wins, Sheffield United will be a mighty challenge for either team in the final. Btw, Jack Rodoni, quite a player."
53,Love the passion Matt,Love the passion Matt
54,"as a derby fan, i know if lampard can do anything then itâ€™s a playoff comeback","as a derby fan, i know if lampard can do anything then itâ€™s a playoff comeback"
55,"I don't get how we could be so confident from the start, it was never gunna   be a walk in the park","I don&#39;t get how we could be so confident from the start, it was never gunna   be a walk in the park"
56,Fair play to rodoni going straight over to Milan to console him after he made the crucial mistake. Proper sportsmanship,Fair play to rodoni going straight over to Milan to console him after he made the crucial mistake. Proper sportsmanship
57,"Sunderland fan here. Almost all us Black Cat fans would have been over the moon with a draw but a win was not expected. Also,we know how good your CC team is,and how well they can score. If we don't play good next Tuesday this game today meant nothing. It should be wild next Tuesday at the Stadium of Light.","Sunderland fan here. Almost all us Black Cat fans would have been over the moon with a draw but a win was not expected. Also,we know how good your CC team is,and how well they can score. If we don&#39;t play good next Tuesday this game today meant nothing. It should be wild next Tuesday at the Stadium of Light."
58,As a neutral I thought Cov played well but just weren't clinical enough and as you said tried to pass it into the net. This Sunderland side has pace to burn and look really good on the break.,As a neutral I thought Cov played well but just weren&#39;t clinical enough and as you said tried to pass it into the net. This Sunderland side has pace to burn and look really good on the break.
59,Love how Sophie shouts 'F@ck off' to the Sunderland fans ğŸ¤£ğŸ¤£ğŸ¤£,Love how Sophie shouts &#39;F@ck off&#39; to the Sunderland fans ğŸ¤£ğŸ¤£ğŸ¤£
60,7:33 Watch your language Sophie ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£,"<a href=""https://www.youtube.com/watch?v=1aelcDeAxIg&amp;t=453"">7:33</a> Watch your language Sophie ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£"
61,"So frustrating for Coventry, 1-1 would not have been ideal but 1-2 is a huge task to overturn","So frustrating for Coventry, 1-1 would not have been ideal but 1-2 is a huge task to overturn"
62,"The playoffs are horrendous   I feel  your pain, glad we are not in them. Good luck I in 2nd  leg,  leeds fan.","The playoffs are horrendous   I feel  your pain, glad we are not in them. Good luck I in 2nd  leg,  leeds fan."
63,The best thing about tonight was watching Sophie. End of.,The best thing about tonight was watching Sophie. End of.
64,"Sunderland fan here, Hats off to you both for sharing your thoughts about the game. Great Comments about both teams. ğŸ‘Œ","Sunderland fan here, Hats off to you both for sharing your thoughts about the game. Great Comments about both teams. ğŸ‘Œ"
65,"Coves stadium is kinda cool looking, i like the lay out","Coves stadium is kinda cool looking, i like the lay out"
66,Really good vlog,Really good vlog
67,Great games both home and away just a pity there had to be a loser but for us Sunderland fans never to be forgotten moments,Great games both home and away just a pity there had to be a loser but for us Sunderland fans never to be forgotten moments
68,"O00 its only Half time, Great video Matt, As a Sunderland fan,  Not the best we have played, BUT,  Think we will win 1-0 at home, Final score Sunderland 3 Coventry 1, But if you do get there  Good luck and enjoy","O00 its only Half time, Great video Matt, As a Sunderland fan,  Not the best we have played, BUT,  Think we will win 1-0 at home, Final score Sunderland 3 Coventry 1, But if you do get there  Good luck and enjoy"
69,Watched you guys all year great vlogs glad we won though was not expecting too hope the sol has as good as atmosphere on Tues night good luck for you after tuesdays game!!,Watched you guys all year great vlogs glad we won though was not expecting too hope the sol has as good as atmosphere on Tues night good luck for you after tuesdays game!!
70,That late goal might have blown it for Coventry City now.. ğŸ˜¬,That late goal might have blown it for Coventry City now.. ğŸ˜¬
71,Coventry City can' t seem to handle pressure,Coventry City can&#39; t seem to handle pressure
72,Great vlog again you 3 KTF ğŸˆâ€â¬›,Great vlog again you 3 KTF ğŸˆâ€â¬›
73,"That backpass was terrible at the 2nd Sunderland goal. I donâ€™t know if Coventry will comeback against Sunderland at the stadium of light, but anything is possible. Sorry about the loss today guys","That backpass was terrible at the 2nd Sunderland goal. I donâ€™t know if Coventry will comeback against Sunderland at the stadium of light, but anything is possible. Sorry about the loss today guys"
74,What was MVE thinking.. ğŸ¤¦ğŸ»â€â™€ï¸,What was MVE thinking.. ğŸ¤¦ğŸ»â€â™€ï¸
75,"Oh very dear, Coventry","Oh very dear, Coventry"
76,"Leeds fan here.  I feel your pain, but I canâ€™t forget the day Lampard brought Derby to ER and turned us over in the second leg of that play-off semi.  That was a long long journey back home to Essex that night.  So, keep the faith as it for sure isnâ€™t all over yet guys.

Love your channel, will be keeping an eye in you next season whichever division youâ€™re in.

Good luck in the second leg.","Leeds fan here.  I feel your pain, but I canâ€™t forget the day Lampard brought Derby to ER and turned us over in the second leg of that play-off semi.  That was a long long journey back home to Essex that night.  So, keep the faith as it for sure isnâ€™t all over yet guys.<br><br>Love your channel, will be keeping an eye in you next season whichever division youâ€™re in.<br><br>Good luck in the second leg."
77,Cov dominated the game and gifted the 2 Sunderland goals. Frank needs to tighten the Cov defence AND find a way to break through the Sunderland defence. Hadji Wright is clearly a weakness in the team and needs replacing asap. I hope Cov fight for the win but it's critical that they 'want it' more than Sunderland on the night.,Cov dominated the game and gifted the 2 Sunderland goals. Frank needs to tighten the Cov defence AND find a way to break through the Sunderland defence. Hadji Wright is clearly a weakness in the team and needs replacing asap. I hope Cov fight for the win but it&#39;s critical that they &#39;want it&#39; more than Sunderland on the night.
78,"Neutral here, just enjoy your videos, but wanted to say that, as I've suspected for a while, Sky TV I'm sure either edit their sound, or put the microphones near to whichever set of fans favours their 'storyline'  (I'm assuming they wanted the Frank Lampard story here) because on TV you didn't hear a peep out of Sunderland fans until the late winner, which seemed suspicious as they are always loud, and you guys have confirmed it here.

Good luck for Tuesday and hope whoever wins this tie overall wins the final too. 2 really good sides.","Neutral here, just enjoy your videos, but wanted to say that, as I&#39;ve suspected for a while, Sky TV I&#39;m sure either edit their sound, or put the microphones near to whichever set of fans favours their &#39;storyline&#39;  (I&#39;m assuming they wanted the Frank Lampard story here) because on TV you didn&#39;t hear a peep out of Sunderland fans until the late winner, which seemed suspicious as they are always loud, and you guys have confirmed it here.<br><br>Good luck for Tuesday and hope whoever wins this tie overall wins the final too. 2 really good sides."
79,Good video Matt Sophie Coventry city from Leeburke end of the Coventry city next in the championship Coventry city,Good video Matt Sophie Coventry city from Leeburke end of the Coventry city next in the championship Coventry city
80,That was amazing.,That was amazing.
81,"It's not over. Unexpected things can and do happen in play-offs. I remember watching Forest beat Yeovil 2-0 in the away leg. We thought we were there, but we weren't. The 2nd leg at home was a nightmare. 

Even when we got promoted, beat Sheff U in the 1st away leg but still needed penalties to get through.","It&#39;s not over. Unexpected things can and do happen in play-offs. I remember watching Forest beat Yeovil 2-0 in the away leg. We thought we were there, but we weren&#39;t. The 2nd leg at home was a nightmare. <br><br>Even when we got promoted, beat Sheff U in the 1st away leg but still needed penalties to get through."
82,Good vlog mate. Its far from over.,Good vlog mate. Its far from over.
83,"Hope youâ€™re having a lovely morning Matt, love from Mackems x","Hope youâ€™re having a lovely morning Matt, love from Mackems x"
84,Sunderland Fan Here  Great Game tonite guys but its  only half time !!! Anything  can happen in the 2nd leg but am feeling a lot more confident after this result !!! Haway the Lads â¤â¤â¤â¤,Sunderland Fan Here  Great Game tonite guys but its  only half time !!! Anything  can happen in the 2nd leg but am feeling a lot more confident after this result !!! Haway the Lads â¤â¤â¤â¤
85,"Hard game and this is from a Sunderland fan. It is not by any means over yet though, Wish we had Rudoni. 1-1 at our place. Justice at last for the Jimmy Hill fiasco too so we can put that one to bed too. Whatever the result best wishes for next season.","Hard game and this is from a Sunderland fan. It is not by any means over yet though, Wish we had Rudoni. 1-1 at our place. Justice at last for the Jimmy Hill fiasco too so we can put that one to bed too. Whatever the result best wishes for next season."
86,Sunderland fan here i was really shocked when we won and i was celebrating like mad when mayenda scored unlucky mattğŸ˜Š,Sunderland fan here i was really shocked when we won and i was celebrating like mad when mayenda scored unlucky mattğŸ˜Š
87,"Your girl should be a sky presenter,only one to pick up the importance of those finishes looked easy goals but under the circumstances very tough, feel for you cov fans,but we have one foot on the carpet.ğŸ‰","Your girl should be a sky presenter,only one to pick up the importance of those finishes looked easy goals but under the circumstances very tough, feel for you cov fans,but we have one foot on the carpet.ğŸ‰"
88,"Derby fan here, we played Leeds in playoffs semi. During that season we lost home and away in the league,  home in the playoffs  and I felt just like Sophie. We won away, Lampard  was the manager. Keep the faith.","Derby fan here, we played Leeds in playoffs semi. During that season we lost home and away in the league,  home in the playoffs  and I felt just like Sophie. We won away, Lampard  was the manager. Keep the faith."
89,"That was a disastrous moment, to gift Sunderland a second goal like that. The tie is far from over though, long way to go & anything can happen.","That was a disastrous moment, to gift Sunderland a second goal like that. The tie is far from over though, long way to go &amp; anything can happen."
90,As an American Newcastle fan many would assume I was cheering for Coventry and that would be correct. What may be surprising to know is itâ€™s not because of my hatred for Sunderland as much as how much Iâ€™ve grown to adore Matt and Sophie. Best of luck in the final leg. Itâ€™s not over until itâ€™s over!!,As an American Newcastle fan many would assume I was cheering for Coventry and that would be correct. What may be surprising to know is itâ€™s not because of my hatred for Sunderland as much as how much Iâ€™ve grown to adore Matt and Sophie. Best of luck in the final leg. Itâ€™s not over until itâ€™s over!!
91,Nice balanced piece matt! We got it right on the night for once. It is only hslf time though,Nice balanced piece matt! We got it right on the night for once. It is only hslf time though
92,Come on Coventry ğŸ¤,Come on Coventry ğŸ¤
93,I like both teams both clubs are way to big for were you are. Both suffered just like my team Everton but we are finding our feet finally new stadium things hopefully looking up. Going back both you Coventry and Sunderland have fantastic stadium and fan base it's a shame one of you or yet even both may miss out on promotion that's down pretty safe to say Sheffield United to put the halt on. Good luck to both at stadium of light and hopefully may see you or maybe one at bramley Moore stadium  next season.,I like both teams both clubs are way to big for were you are. Both suffered just like my team Everton but we are finding our feet finally new stadium things hopefully looking up. Going back both you Coventry and Sunderland have fantastic stadium and fan base it&#39;s a shame one of you or yet even both may miss out on promotion that&#39;s down pretty safe to say Sheffield United to put the halt on. Good luck to both at stadium of light and hopefully may see you or maybe one at bramley Moore stadium  next season.
94,Haway rhe lads,Haway rhe lads
95,"Mainz05 fan hereâ€¦ never give up, there is still a chance to make it to Wembley!","Mainz05 fan hereâ€¦ never give up, there is still a chance to make it to Wembley!"
96,"Two Coventry fans, I think are alright. As a Sunderland fan I'm happy with the result. Totally unpredictable, that's the beauty of football. All still to play for but we have to use this result as motivation. The fans on Tuesday need to find the old Roker roar and get us over the line.","Two Coventry fans, I think are alright. As a Sunderland fan I&#39;m happy with the result. Totally unpredictable, that&#39;s the beauty of football. All still to play for but we have to use this result as motivation. The fans on Tuesday need to find the old Roker roar and get us over the line."
97,As a Sunderland supporter I had a good feeling about this game: partly due to none of the four sides being in great form at the moment . I felt we were mentally tougher and more disciplined than Coventry on the night! However itâ€™s only half time and Coventry certainly have the players the turn it around! Great confidence booster for Isidor which will certainly help us. Plus we hopefully will have Mundle back for the second leg!However one thing to come out of this is the old adage : the only predictable thing about football is its unpredictability! Can still go either way though!,As a Sunderland supporter I had a good feeling about this game: partly due to none of the four sides being in great form at the moment . I felt we were mentally tougher and more disciplined than Coventry on the night! However itâ€™s only half time and Coventry certainly have the players the turn it around! Great confidence booster for Isidor which will certainly help us. Plus we hopefully will have Mundle back for the second leg!However one thing to come out of this is the old adage : the only predictable thing about football is its unpredictability! Can still go either way though!
98,"Itâ€™s going to be tough for you guys at there spot, keep the faith itâ€™s not out of reach.","Itâ€™s going to be tough for you guys at there spot, keep the faith itâ€™s not out of reach."
99,"Sunderland fan here, it's only half time, still have a massive job to do at home. Time and time again form goes out the window when it comes to these play off games. It takes two to make a great match, well played Coventry but Ha'way The Lads.","Sunderland fan here, it&#39;s only half time, still have a massive job to do at home. Time and time again form goes out the window when it comes to these play off games. It takes two to make a great match, well played Coventry but Ha&#39;way The Lads."
